C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
9501,95.0,1985.0,2012,27.0,1,0.0,0.0,Y2959200,physical_fight,False,False
9502,95.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9502,95.0,1987.0,2004,17.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
9502,95.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9502,95.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9502,95.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9502,95.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9503,95.0,1988.0,2004,16.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
9503,95.0,1988.0,2006,18.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
9503,95.0,1988.0,2008,20.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9503,95.0,1988.0,2010,22.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9503,95.0,1988.0,2012,24.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9601,96.0,1980.0,1996,16.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
9601,96.0,1980.0,1998,18.0,3,1.0,2.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
9601,96.0,1980.0,2000,20.0,1,0.0,0.0,Y1176200,physical_fight,True,False
9601,96.0,1980.0,2002,22.0,1,0.0,0.0,Y1416800,physical_fight,True,False
9601,96.0,1980.0,2004,24.0,1,0.0,0.0,Y1668200,physical_fight,True,False
9601,96.0,1980.0,2006,26.0,1,0.0,0.0,Y1941500,physical_fight,False,False
9601,96.0,1980.0,2008,28.0,1,0.0,0.0,Y2257500,physical_fight,False,False
9601,96.0,1980.0,2010,30.0,1,0.0,0.0,Y2609100,physical_fight,False,False
9602,96.0,1986.0,2002,16.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9602,96.0,1986.0,2004,18.0,1,1.0,1.0,Y1667300,hurt_physically,True,False
9602,96.0,1986.0,2006,20.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9602,96.0,1986.0,2008,22.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9602,96.0,1986.0,2010,24.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9602,96.0,1986.0,2012,26.0,1,0.0,0.0,Y2959200,physical_fight,False,False
9603,96.0,1998.0,2014,16.0,1,0.0,0.0,Y3325701,hurt_physically,True,False
9701,97.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9701,97.0,1987.0,2004,17.0,1,1.0,1.0,Y1667300,hurt_physically,True,False
9701,97.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9701,97.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9701,97.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9701,97.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9702,97.0,1989.0,2004,15.0,1,1.0,1.0,Y1667300,hurt_physically,True,False
9702,97.0,1989.0,2006,17.0,1,1.0,1.0,Y1940600,hurt_physically,True,False
9702,97.0,1989.0,2008,19.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9702,97.0,1989.0,2010,21.0,1,1.0,1.0,Y2609100,physical_fight,True,False
9702,97.0,1989.0,2012,23.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9801,98.0,1987.0,2002,15.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9801,98.0,1987.0,2004,17.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
9801,98.0,1987.0,2006,19.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9801,98.0,1987.0,2008,21.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9801,98.0,1987.0,2010,23.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9801,98.0,1987.0,2012,25.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9802,98.0,1990.0,2006,16.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
9802,98.0,1990.0,2008,18.0,1,0.0,0.0,Y2256600,hurt_physically,True,False
